1		I		0		13599
2		P		120		1545
3		B		40		11929
4		B		80		832
5		P		240		716
6		B		160		567
7		B		200		555
8		P		360		3329
9		B		280		1214
10		B		320		1932
11		I		480		5179
12		B		400		2870
13		B		440		2969
14		P		600		5059
15		B		520		3818
16		B		560		3856
17		P		720		5399
18		B		640		3668
19		B		680		4016
20		P		840		5590
21		B		760		4191
22		B		800		4297
23		I		960		7095
24		B		880		4330
25		B		920		4615
26		P		1080		6311
27		B		1000		4578
28		B		1040		4684
29		P		1200		6820
30		B		1120		5128
31		B		1160		5398
32		P		1320		7670
33		B		1240		5897
34		B		1280		6135
35		I		1440		9086
36		B		1360		6200
37		B		1400		6189
38		P		1560		6680
39		B		1480		5879
40		B		1520		6017
41		P		1680		5940
42		B		1600		5601
43		B		1640		5691
44		P		1800		5626
45		B		1720		5229
46		B		1760		5186
47		I		1920		8946
48		B		1840		5256
49		B		1880		5313
50		P		2040		6396
51		B		1960		5639
52		B		2000		5749
53		P		2160		6516
54		B		2080		5473
55		B		2120		5511
56		P		2280		6336
57		B		2200		5695
58		B		2240		5637
59		I		2400		9097
60		B		2320		5650
61		B		2360		5467
62		P		2520		6492
63		B		2440		5698
64		B		2480		5804
65		P		2640		6518
66		B		2560		5993
67		B		2600		5966
68		P		2760		6349
69		B		2680		5808
70		B		2720		5806
71		I		2880		9800
72		B		2800		6112
73		B		2840		6194
74		P		3000		7091
75		B		2920		6376
76		B		2960		6345
77		P		3120		7161
78		B		3040		6495
79		B		3080		6564
80		P		3240		7615
81		B		3160		6846
82		B		3200		7084
83		I		3360		10026
84		B		3280		7116
85		B		3320		6925
86		P		3480		6788
87		B		3400		6521
88		B		3440		6292
89		P		3600		6503
90		B		3520		6090
91		B		3560		5912
92		P		3720		6128
93		B		3640		5626
94		B		3680		5393
95		I		3840		9258
96		B		3760		5383
97		B		3800		5345
98		P		3960		6296
99		B		3880		5518
100		B		3920		5617
101		P		4080		6086
102		B		4000		5636
103		B		4040		5648
104		P		4200		6609
105		B		4120		5604
106		B		4160		5804
107		I		4320		9680
108		B		4240		5969
109		B		4280		5845
110		P		4440		7001
111		B		4360		6052
112		B		4400		6056
113		P		4560		6921
114		B		4480		6034
115		B		4520		6007
116		P		4680		7130
117		B		4600		6156
118		B		4640		6416
119		I		4800		9997
120		B		4720		6285
121		B		4760		6173
122		P		4920		7274
123		B		4840		6306
124		B		4880		6364
125		P		5040		7130
126		B		4960		6363
127		B		5000		6395
128		P		5160		7537
129		B		5080		6599
130		B		5120		6745
131		I		5280		10299
132		B		5200		6823
133		B		5240		6889
134		P		5400		15234
135		B		5320		7615
136		B		5360		8502
137		P		5520		10932
138		B		5440		9490
139		B		5480		8972
140		P		5640		10265
141		B		5560		8070
142		B		5600		8568
143		I		5760		12749
144		B		5680		8917
145		B		5720		8442
146		P		5880		10558
147		B		5800		7804
148		B		5840		7842
149		P		6000		10047
150		B		5920		8665
151		B		5960		9466
152		P		6120		11372
153		B		6040		9248
154		B		6080		9037
155		I		6240		12996
156		B		6160		9448
157		B		6200		9745
158		P		6360		11393
159		B		6280		9830
160		B		6320		9534
161		P		6480		10974
162		B		6400		9001
163		B		6440		9433
164		P		6600		11019
165		B		6520		9677
166		B		6560		9016
167		I		6720		11954
168		B		6640		8336
169		B		6680		8284
170		P		6840		10094
171		B		6760		8725
172		B		6800		8606
173		P		6960		10901
174		B		6880		8228
175		B		6920		7987
176		P		7080		10833
177		B		7000		8783
178		B		7040		9707
179		I		7200		13238
180		B		7120		9414
181		B		7160		8968
182		P		7320		11100
183		B		7240		9150
184		B		7280		9272
185		P		7440		11112
186		B		7360		9409
187		B		7400		9175
188		P		7560		11176
189		B		7480		8977
190		B		7520		9320
191		I		7680		13042
192		B		7600		10115
193		B		7640		9253
194		P		7800		12272
195		B		7720		8235
196		B		7760		7969
197		P		7920		12819
198		B		7840		8889
199		B		7880		9218
200		P		8040		12246
201		B		7960		8054
202		B		8000		8095
203		I		8160		12910
204		B		8080		8372
205		B		8120		9002
206		P		8280		11095
207		B		8200		8639
208		B		8240		8629
209		P		8400		10861
210		B		8320		8572
211		B		8360		8441
212		P		8520		11054
213		B		8440		8763
214		B		8480		8354
215		I		8640		12565
216		B		8560		7616
217		B		8600		7915
218		P		8760		10440
219		B		8680		8188
220		B		8720		8084
221		P		8880		10347
222		B		8800		7597
223		B		8840		7319
224		P		9000		10686
225		B		8920		7840
226		B		8960		8497
227		I		9120		13004
228		B		9040		8510
229		B		9080		8350
230		P		9240		10985
231		B		9160		8701
232		B		9200		8716
233		P		9360		11000
234		B		9280		8270
235		B		9320		8745
236		P		9480		10634
237		B		9400		8282
238		B		9440		8130
239		I		9600		12615
240		B		9520		8516
241		B		9560		7952
242		P		9720		11254
243		B		9640		7646
244		B		9680		7633
245		P		9840		9889
246		B		9760		7636
247		B		9800		7628
248		P		9960		9012
249		B		9880		6748
250		B		9920		6443
251		I		10080		9243
252		B		10000		6202
253		B		10040		6912
254		P		10200		7660
255		B		10120		6602
256		B		10160		6664
257		P		10320		7069
258		B		10240		6519
259		B		10280		6451
260		P		10440		7482
261		B		10360		6503
262		B		10400		6398
263		I		10560		8748
264		B		10480		6575
265		B		10520		6990
266		P		10680		7293
267		B		10600		7023
268		B		10640		6743
269		P		10800		7432
270		B		10720		5944
271		B		10760		6487
272		P		10920		7039
273		B		10840		6714
274		B		10880		6965
275		I		11040		8884
276		B		10960		7280
277		B		11000		6919
278		P		11160		7021
279		B		11080		6690
280		B		11120		6536
281		P		11280		6421
282		B		11200		6413
283		B		11240		6047
284		P		11400		6180
285		B		11320		5677
286		B		11360		5900
287		I		11520		7475
288		B		11440		5623
289		B		11480		5781
290		P		11640		5840
291		B		11560		5493
292		B		11600		5100
293		P		11760		5320
294		B		11680		5098
295		B		11720		5132
296		P		11880		4639
297		B		11800		4621
298		B		11840		4512
299		I		12000		6036
300		B		11920		3957
301		B		11960		3920
302		P		12120		4255
303		B		12040		3644
304		B		12080		3837
305		P		12240		3759
306		B		12160		3766
307		B		12200		3623
308		P		12360		5101
309		B		12280		4016
310		B		12320		4255
311		I		12480		7756
312		B		12400		4741
313		B		12440		5408
314		P		12600		6446
315		B		12520		5565
316		B		12560		5595
317		P		12720		6569
318		B		12640		5739
319		B		12680		5546
320		P		12840		6882
321		B		12760		6052
322		B		12800		6230
323		I		12960		9034
324		B		12880		6532
325		B		12920		6046
326		P		13080		7244
327		B		13000		6259
328		B		13040		6129
329		P		13200		7039
330		B		13120		6658
331		B		13160		6710
332		P		13320		7512
333		B		13240		6563
334		B		13280		6558
335		I		13440		9635
336		B		13360		6935
337		B		13400		6585
338		P		13560		8679
339		B		13480		7220
340		B		13520		7730
341		P		13680		10098
342		B		13600		8453
343		B		13640		8584
344		P		13800		10632
345		B		13720		8620
346		B		13760		9018
347		I		13920		11101
348		B		13840		9391
349		B		13880		9173
350		P		14040		9471
351		B		13960		9053
352		B		14000		8326
353		P		14160		9473
354		B		14080		7841
355		B		14120		7656
356		P		14280		9737
357		B		14200		6851
358		B		14240		6934
359		I		14400		11425
360		B		14320		7619
361		B		14360		7473
362		P		14520		9500
363		B		14440		6734
364		B		14480		6856
365		P		14640		9621
366		B		14560		7506
367		B		14600		7718
368		P		14760		10252
369		B		14680		8206
370		B		14720		8307
371		I		14880		11984
372		B		14800		7775
373		B		14840		8336
374		P		15000		10195
375		B		14920		8869
376		B		14960		9214
377		P		15120		10010
378		B		15040		8048
379		B		15080		8206
380		P		15240		10015
381		B		15160		9049
382		B		15200		8988
383		I		15360		11681
384		B		15280		7805
385		B		15320		7196
386		P		15480		9861
387		B		15400		8094
388		B		15440		8554
389		P		15600		10002
390		B		15520		7805
391		B		15560		7716
392		P		15720		9654
393		B		15640		8330
394		B		15680		8581
395		I		15840		12398
396		B		15760		8824
397		B		15800		8539
398		P		15960		10916
399		B		15880		8933
