1		I		0		18059
2		P		120		14940
3		B		40		7274
4		B		80		8825
5		P		240		8298
6		B		160		6809
7		B		200		6388
8		P		360		7254
9		B		280		7635
10		B		320		7526
11		I		480		17937
12		B		400		8353
13		B		440		9222
14		P		600		9399
15		B		520		8095
16		B		560		7682
17		P		720		8498
18		B		640		7738
19		B		680		9304
20		P		840		8377
21		B		760		6934
22		B		800		7119
23		I		960		17916
24		B		880		6848
25		B		920		6329
26		P		1080		10689
27		B		1000		7220
28		B		1040		6432
29		P		1200		9060
30		B		1120		10069
31		B		1160		10159
32		P		1320		8675
33		B		1240		8958
34		B		1280		8409
35		I		1440		17862
36		B		1360		8041
37		B		1400		7676
38		P		1560		10797
39		B		1480		6854
40		B		1520		7125
41		P		1680		9672
42		B		1600		7301
43		B		1640		6805
44		P		1800		9878
45		B		1720		9969
46		B		1760		7375
47		I		1920		18024
48		B		1840		9105
49		B		1880		11214
50		P		2040		9717
51		B		1960		9663
52		B		2000		8274
53		P		2160		9079
54		B		2080		7040
55		B		2120		6425
56		P		2280		7093
57		B		2200		6816
58		B		2240		7529
59		I		2400		17924
60		B		2320		5615
61		B		2360		8036
62		P		2520		9865
63		B		2440		6968
64		B		2480		7566
65		P		2640		7514
66		B		2560		6486
67		B		2600		9344
68		P		2760		10180
69		B		2680		6255
70		B		2720		7068
71		I		2880		18033
72		B		2800		6374
73		B		2840		6681
74		P		3000		10195
75		B		2920		6671
76		B		2960		7222
77		P		3120		14035
78		B		3040		8400
79		B		3080		9206
80		P		3240		9119
81		B		3160		6347
82		B		3200		8360
83		I		3360		18057
84		B		3280		6644
85		B		3320		5711
86		P		3480		9020
87		B		3400		7188
88		B		3440		7698
89		P		3600		8383
90		B		3520		8734
91		B		3560		8660
92		P		3720		8693
93		B		3640		9468
94		B		3680		5749
95		I		3840		17973
96		B		3760		7025
97		B		3800		8808
98		P		3960		9839
99		B		3880		9323
100		B		3920		9452
101		P		4080		9735
102		B		4000		6739
103		B		4040		6731
104		P		4200		9679
105		B		4120		6027
106		B		4160		7804
107		I		4320		18031
108		B		4240		7270
109		B		4280		9405
110		P		4440		12544
111		B		4360		8856
112		B		4400		7071
113		P		4560		8725
114		B		4480		8897
115		B		4520		9943
116		P		4680		9357
117		B		4600		6367
118		B		4640		7060
119		I		4800		18018
120		B		4720		6663
121		B		4760		5940
122		P		4920		9885
123		B		4840		6177
124		B		4880		7194
125		P		5040		8569
126		B		4960		8584
127		B		5000		10008
128		P		5160		10390
129		B		5080		6295
130		B		5120		6057
131		I		5280		17965
132		B		5200		8252
133		B		5240		6470
134		P		5400		8210
135		B		5320		6480
136		B		5360		9107
137		P		5520		7438
138		B		5440		7444
139		B		5480		6855
140		P		5640		11300
141		B		5560		13257
142		B		5600		8924
143		I		5760		17936
144		B		5680		7441
145		B		5720		5991
146		P		5880		7633
147		B		5800		9343
148		B		5840		7818
149		P		6000		9864
150		B		5920		6366
151		B		5960		7124
152		P		6120		9212
153		B		6040		8193
154		B		6080		6242
155		I		6240		17906
156		B		6160		8457
157		B		6200		7423
158		P		6360		15353
159		B		6280		7609
160		B		6320		8078
161		P		6480		11562
162		B		6400		6965
163		B		6440		7234
164		P		6600		8125
165		B		6520		7886
166		B		6560		6595
167		I		6720		17849
168		B		6640		6600
169		B		6680		6634
170		P		6840		9781
171		B		6760		7052
172		B		6800		6495
173		P		6960		9280
174		B		6880		8646
175		B		6920		10230
176		P		7080		12403
177		B		7000		6907
178		B		7040		6497
179		I		7200		17856
180		B		7120		9181
181		B		7160		6874
182		P		7320		9631
183		B		7240		6639
184		B		7280		5474
185		P		7440		11715
186		B		7360		7988
187		B		7400		6703
188		P		7560		11935
189		B		7480		9911
190		B		7520		8164
191		I		7680		18154
192		B		7600		7341
193		B		7640		7327
194		P		7800		7885
195		B		7720		9217
196		B		7760		7166
197		P		7920		10559
198		B		7840		6362
199		B		7880		6541
200		P		8040		6982
201		B		7960		6119
202		B		8000		6608
203		I		8160		18102
204		B		8080		7712
205		B		8120		9227
206		P		8280		13750
207		B		8200		7976
208		B		8240		8235
209		P		8400		9380
210		B		8320		6934
211		B		8360		9711
212		P		8520		13301
213		B		8440		7720
214		B		8480		6181
215		I		8640		18194
216		B		8560		8680
217		B		8600		6433
218		P		8760		13676
219		B		8680		7087
220		B		8720		6761
221		P		8880		9584
222		B		8800		11471
223		B		8840		10915
224		P		9000		8135
225		B		8920		7439
226		B		8960		7632
227		I		9120		18156
228		B		9040		10263
229		B		9080		7768
230		P		9240		8452
231		B		9160		6652
232		B		9200		8239
233		P		9360		7843
234		B		9280		9334
235		B		9320		8557
236		P		9480		13802
237		B		9400		8944
238		B		9440		7196
239		I		9600		18172
240		B		9520		6662
241		B		9560		6898
242		P		9720		10838
243		B		9640		9239
244		B		9680		8409
245		P		9840		8726
246		B		9760		5857
247		B		9800		6771
248		P		9960		10125
249		B		9880		8978
250		B		9920		7174
251		I		10080		18103
252		B		10000		7543
253		B		10040		10208
254		P		10200		9300
255		B		10120		7995
256		B		10160		7263
257		P		10320		9916
258		B		10240		5944
259		B		10280		6512
260		P		10440		9611
261		B		10360		7888
262		B		10400		10000
263		I		10560		18129
264		B		10480		6707
265		B		10520		9659
266		P		10680		11624
267		B		10600		6459
268		B		10640		6809
269		P		10800		12699
270		B		10720		8396
271		B		10760		9878
272		P		10920		6838
273		B		10840		7232
274		B		10880		8137
275		I		11040		18096
276		B		10960		7344
277		B		11000		6357
278		P		11160		7728
279		B		11080		6524
280		B		11120		7722
281		P		11280		6802
282		B		11200		9441
283		B		11240		8368
284		P		11400		15840
285		B		11320		9669
286		B		11360		9605
287		I		11520		17834
288		B		11440		6622
289		B		11480		7065
290		P		11640		10651
291		B		11560		8926
292		B		11600		7274
293		P		11760		9015
294		B		11680		6442
295		B		11720		6035
296		P		11880		7678
297		B		11800		7102
298		B		11840		5815
299		I		12000		17888
300		B		11920		8237
301		B		11960		7692
302		P		12120		12924
303		B		12040		9075
304		B		12080		6736
305		P		12240		10037
306		B		12160		7055
307		B		12200		8397
308		P		12360		9642
309		B		12280		8116
310		B		12320		6587
311		I		12480		18131
312		B		12400		6124
313		B		12440		5724
314		P		12600		8636
315		B		12520		6456
316		B		12560		6775
317		P		12720		12013
318		B		12640		8074
319		B		12680		8932
320		P		12840		10201
321		B		12760		6138
322		B		12800		7217
323		I		12960		18104
324		B		12880		8440
325		B		12920		7220
326		P		13080		7773
327		B		13000		6367
328		B		13040		6889
329		P		13200		12594
330		B		13120		9972
331		B		13160		9116
332		P		13320		11003
333		B		13240		10203
334		B		13280		7002
335		I		13440		18038
336		B		13360		7552
337		B		13400		7395
338		P		13560		16390
339		B		13480		9170
340		B		13520		7729
341		P		13680		16407
342		B		13600		8695
343		B		13640		9551
344		P		13800		18781
345		B		13720		8918
346		B		13760		10840
347		I		13920		17952
348		B		13840		10443
349		B		13880		11113
350		P		14040		16634
351		B		13960		9597
352		B		14000		9297
353		P		14160		13392
354		B		14080		7360
355		B		14120		9370
356		P		14280		18740
357		B		14200		9475
